timestamp,type,event_id,total_pipeline_ms,status
2025-12-30T03:54:14.821Z,COLD_CYCLE,insitu-cold_cycle-1767066852181,2367,SUCCESS
2025-12-30T03:55:27.344Z,COLD_CYCLE,insitu-cold_cycle-1767066924809,2062,SUCCESS
2025-12-30T04:25:47.877Z,COLD_CYCLE,insitu-cold_cycle-1767068745180,2353,SUCCESS
2025-12-30T04:56:10.018Z,COLD_CYCLE,insitu-cold_cycle-1767070567322,2585,SUCCESS
2025-12-30T05:26:32.661Z,COLD_CYCLE,insitu-cold_cycle-1767072389874,2499,SUCCESS
2025-12-30T05:56:56.724Z,COLD_CYCLE,insitu-cold_cycle-1767074213936,2336,SUCCESS
2025-12-30T06:27:20.457Z,COLD_CYCLE,insitu-cold_cycle-1767076037690,2330,SUCCESS
2025-12-30T06:57:43.947Z,COLD_CYCLE,insitu-cold_cycle-1767077861303,2277,SUCCESS
2025-12-30T07:28:07.937Z,COLD_CYCLE,insitu-cold_cycle-1767079685168,2618,SUCCESS
2025-12-30T07:58:32.324Z,COLD_CYCLE,insitu-cold_cycle-1767081509718,2656,SUCCESS
2025-12-30T08:28:56.193Z,COLD_CYCLE,insitu-cold_cycle-1767083333584,2881,SUCCESS
2025-12-30T08:29:09.890Z,WARM_BURST,insitu-warm_burst-1767083347249,2189,SUCCESS
2025-12-30T08:29:12.171Z,WARM_BURST,insitu-warm_burst-1767083349891,2299,SUCCESS
2025-12-30T08:29:14.844Z,WARM_BURST,insitu-warm_burst-1767083352172,2270,SUCCESS
2025-12-30T08:29:17.110Z,WARM_BURST,insitu-warm_burst-1767083354844,2600,SUCCESS
2025-12-30T08:29:19.471Z,WARM_BURST,insitu-warm_burst-1767083357111,2338,SUCCESS
2025-12-30T08:29:21.858Z,WARM_BURST,insitu-warm_burst-1767083359471,2492,SUCCESS
2025-12-30T08:29:24.172Z,WARM_BURST,insitu-warm_burst-1767083361859,2599,SUCCESS
2025-12-30T08:29:26.552Z,WARM_BURST,insitu-warm_burst-1767083364173,2285,SUCCESS
2025-12-30T08:29:28.852Z,WARM_BURST,insitu-warm_burst-1767083366553,2406,SUCCESS
2025-12-30T08:29:31.157Z,WARM_BURST,insitu-warm_burst-1767083368853,2120,SUCCESS
